,0
0,34494669.286057696
1,51696728.20733719
2,0.07051759535590044
3,0.06247710873587774
4,0.061021267221524164
5,0.06582945298690063
6,0.06167353933247236
7,0.06215679717178528
8,0.060457502849973165
9,0.06040986261975307
10,0.060255555650935724
11,0.06037945429293009
12,0.06018184361836085
13,0.05977164703206374
14,0.06000001592418322
15,0.060078028517846875
16,0.061590310401068285
17,0.06276897828166302
18,0.059620783234444946
19,0.0595708225782101
20,5.244239363962641
21,0.086784728229619
22,0.07100329655580796
23,0.05987981556413265
24,0.059500389302579254
25,0.059001181776133865
26,0.05903611339342136
27,0.05912896388998398
28,0.05956252492391146
29,0.05922661950955024
30,0.05943142465100838
31,0.059141070367052004
32,0.05909193450441727
33,0.059066546794313654
34,0.058910078154160425
35,0.05904613657353016
36,0.05887422037239258
37,0.05898177752701136
38,0.059172359151908986
39,0.058879270003392145
40,0.05900157364801718
41,0.05919697085538736
42,0.05890961005710638
43,0.05866456332688148
44,0.05937600644448629
45,0.05877023727561419
46,0.05888186968289889
47,0.058779857909450166
48,0.05860872881916853
49,0.05901041684242395
50,0.05923966970294714
51,0.058679928859839074
52,0.05875986986435377
53,0.0587842556146475
54,0.05874619597139267
55,0.058938173648829646
56,0.05840212866090811
57,0.058774291179501094
58,0.05899639850339064
59,0.05905516015795561
60,0.0586872583685013
61,0.05879243312833401
62,0.05890382496783367
63,0.05863580000228607
64,0.058660729644963376
65,0.05879278423694464
66,0.05868064819906767
67,0.058512560378473535
68,0.058931593138438
69,0.0589963524387433
70,0.058578770249508895
71,0.05885810885005272
72,0.05857091647787736
73,0.05879464244040159
74,0.05870407368414677
75,0.05878572158802014
76,0.058661206338841185
77,0.05894635087595536
78,0.05865217802616266
79,0.05881106337675682
80,0.05860156508592459
